schaden_id,schadennummer_anzeige,vertrag_id,partner_id,sparte,art,ursache_code,schadendatum,meldedatum,erfassungsdatum,meldekanal,schadenort_plz,schadenort_land,beschreibung_kurz,status,status_seit,reserve_aktuell,bezahlt_total,regress_total,waehrung,deckung_geprueft,deckung_ergebnis,ablehnungsgrund_code,sachbearbeiter_id,org_einheit_id,geschaedigter_text,betrugsverdacht_sichtbar,quellsystem,ist_persona_fall
SCH-00000110,S2019/001001,VTR-00000101,PTR-00000001,HP,HP_PERSONEN,SKI_KOLLISION,2019-02-16,2019-02-18,2019-02-18,VERMITTLER,3818,CH,Reto Niederberger kollidiert auf der Piste Grindelwald-First mit einer anderen Skifahrerin; Prellung Schulter und Skibruch der Geschaedigten.,GESCHLOSSEN,2019-06-04,0.0,4180.0,0.0,CHF,true,GEDECKT,,MIT-00008,ORG-042,"Dritte (Skifahrerin, Bern)",KEIN,SILAS,true
SCH-00000118,S2025/001001,VTR-00000101,PTR-00000001,HP,HP_SACH,KIND_BESCHAEDIGT_FREMDSACHE,2025-05-17,2025-05-18,2025-05-18,APP,6004,CH,Sohn Noah (8) stoesst beim Spielen das E-Bike des Nachbarn um; Display und Rahmen beschaedigt. Kostenvoranschlag Velohaendler CHF 2'340.,GESCHLOSSEN,2025-05-21,0.0,2340.0,0.0,CHF,true,GEDECKT,,,,Nachbar (Luzern),KEIN,SILAS,true
SCH-00000210,CLM-2023-0001001,VTR-00000201,PTR-00000002,HP,HP_MIETSACH,SCHLUESSELVERLUST,2023-02-07,2023-02-07,2023-02-07,APP,04277,DE,"Wohnungsschluessel mit Schliessanlagen-Schluessel im Zug verloren; Vermieter laesst Schliesszylinder ersetzen, EUR 780.",GESCHLOSSEN,2023-02-09,0.0,780.0,0.0,EUR,true,GEDECKT,,,,Vermieterin (Hausverwaltung Leipzig),KEIN,MINT,true
SCH-00000310,S2018/001001,VTR-00000301,PTR-00000003,HP,HP_SACH,BEARBEITUNGSSCHADEN,2018-11-05,2018-11-07,2018-11-07,VERMITTLER,5600,CH,Kratzer im Parkett einer Kundenwohnung bei Kuechenmontage; Ausbesserung durch Bodenleger CHF 1'900.,GESCHLOSSEN,2018-12-20,0.0,1900.0,0.0,CHF,true,GEDECKT,,MIT-00008,ORG-042,Kundin der Schreinerei (Lenzburg),KEIN,SILAS,true
SCH-00000318,S2024/001001,VTR-00000301,PTR-00000003,HP,HP_SACH,WASSERSCHADEN_INSTALLATION,2024-03-12,2024-03-13,2024-03-13,VERMITTLER,5600,CH,"Undichter Wasseranschluss nach Kuechenmontage in Neubauwohnung; Wasser dringt ueber Nacht in die Wohnung und zwei darunterliegende Wohnungen. Bauschaden, Mobiliar, Mietausfall.",GESCHLOSSEN,2025-03-18,0.0,172400.0,40000.0,CHF,true,GEDECKT,,MIT-00008,ORG-042,"Stockwerkeigentuemergemeinschaft Aarepark, Lenzburg",KEIN,SILAS,true
SCH-00000410,S2017/001001,VTR-00000401,PTR-00000004,HP,HP_SACH,BEARBEITUNGSSCHADEN,2017-08-22,2017-08-24,2017-08-24,VERMITTLER,01796,DE,Monteur beschaedigt beim Bohren eine Fussbodenheizung in einer Kundenwohnung; Reparatur und Estrichoeffnung EUR 6'400.,GESCHLOSSEN,2017-11-02,0.0,6400.0,0.0,EUR,true,GEDECKT,,MIT-00009,ORG-032,Kunde des Betriebs (Pirna),KEIN,SILAS,true
SCH-00000414,S2020/001001,VTR-00000401,PTR-00000004,HP,HP_SACH,WASSERSCHADEN_INSTALLATION,2020-12-03,2020-12-04,2020-12-04,VERMITTLER,01796,DE,"Wasserschaden nach Heizungsumbau in Mehrfamilienhaus Pirna; Leck an Verteiler, Schaden an zwei Wohnungen.",GESCHLOSSEN,2021-05-11,0.0,38200.0,0.0,EUR,true,GEDECKT,,MIT-00009,ORG-032,Wohnungseigentuemergemeinschaft Pirna,KEIN,SILAS,true
SCH-00000419,S2024/001002,VTR-00000401,PTR-00000004,HP,HP_SACH,DACHARBEITEN_PV,2024-09-17,2024-09-18,2024-09-18,PORTAL,01796,DE,"Bei Photovoltaik-Montage werden Dachziegel und Unterspannbahn beschaedigt; Regen dringt ein, Schaden an Dachstuhl und Zimmerdecke. Taetigkeit im Formular: Dacharbeiten.",GESCHLOSSEN,2024-11-05,0.0,27500.0,0.0,EUR,true,GEDECKT,,MIT-00009,ORG-032,Hauseigentuemer (Heidenau),KEIN,SILAS,true
SCH-00000501,S2019/001002,VTR-00000501,PTR-00000005,LV,LV_ABLAUF,ERLEBEN,2019-06-09,2019-03-04,2019-03-04,VERMITTLER,4500,CH,Ablauf der gemischten Lebensversicherung PK-95 mit Alter 65. Bezugsberechtigter im Todesfall (Ehemann) vier Monate vor Ablauf verstorben; Erlebensfallleistung an die Versicherungsnehmerin.,GESCHLOSSEN,2019-06-14,0.0,168420.0,0.0,CHF,true,GEDECKT,,MIT-00007,ORG-033,,KEIN,SILAS,true
SCH-00000510,S2022/001001,VTR-00000503,PTR-00000005,HP,HP_PERSONEN,HUNDEBISS,2022-08-30,2022-09-05,2022-09-05,BRIEF,4500,CH,"Hund der Versicherungsnehmerin beisst Nachbarn in die Hand; Arztkosten CHF 640, gemeldet per Brief mit Arztrechnung.",GESCHLOSSEN,2022-09-27,0.0,640.0,0.0,CHF,true,GEDECKT,,MIT-00008,ORG-042,Nachbar (Solothurn),KEIN,SILAS,true
