interaktion_id,kanal,richtung,zeitpunkt,dauer_sekunden,partner_id,mitarbeiter_id,vermittler_id,bezug_typ,bezug_id,thread_id,betreff,zusammenfassung,sprache,sentiment_agent,datei_pfad,text_body,ist_persona_fall
INT-00000412,APP,EINGEHEND,2025-05-18T09:14:00Z,,PTR-00000001,,,SCHADEN,SCH-00000118,TH-00000118,Schadenmeldung E-Bike Nachbar,,de,neutral,data/documents/S/personas/PTR-00000001/INT-00000412_app.md,"Guten Tag

Gestern Nachmittag hat unser Sohn Noah (8) beim Spielen im Hof das E-Bike unseres Nachbarn umgestossen. Das Display ist gesprungen und der Rahmen hat einen Kratzer. Der Nachbar hat heute einen Kostenvoranschlag vom Velohaendler geholt, CHF 2'340. Ich lade drei Fotos und den Kostenvoranschlag hoch. Koennen Sie mir kurz sagen, ob das ueber unsere Privathaftpflicht laeuft?

Danke fuer die schnelle Abwicklung.
Freundliche Gruesse, Simone Niederberger",true
INT-00000413,CHAT,AUSGEHEND,2025-05-19T10:02:00Z,,PTR-00000001,MIT-00013,,SCHADEN,SCH-00000118,TH-00000118,Rueckfrage zur Schadenmeldung,,de,neutral,data/documents/S/personas/PTR-00000001/INT-00000413_chat.md,"Guten Tag Frau Niederberger

Danke fuer die Meldung. Fuer die Pruefung brauche ich noch zwei Angaben: Wie alt ist Noah genau, und war ein Erwachsener beim Spielen anwesend? Das ist fuer die Frage der Aufsichtspflicht wichtig, aendert aber in der Regel nichts an der Deckung.

Freundliche Gruesse
Dario Bianchi, Kundenservice Olten",true
INT-00000414,CHAT,EINGEHEND,2025-05-19T10:25:00Z,,PTR-00000001,MIT-00013,,SCHADEN,SCH-00000118,TH-00000118,Re: Rueckfrage zur Schadenmeldung,,de,positiv,data/documents/S/personas/PTR-00000001/INT-00000414_chat.md,"Noah ist am 23.11.2017 geboren, also 7, im November wird er 8. Ich war auf dem Balkon und habe es gesehen, mein Mann war im Haus. Danke fuer die schnelle Rueckmeldung.",true
INT-00000415,APP,AUSGEHEND,2025-05-21T08:30:00Z,,PTR-00000001,,,SCHADEN,SCH-00000118,TH-00000118,Ihr Schaden SCH-00000118 ist erledigt,,de,,data/documents/S/personas/PTR-00000001/INT-00000415_app.md,"Guten Tag Frau Niederberger

Ihr Schaden vom 17.05.2025 ist gedeckt. Wir haben CHF 2'340.00 gemaess Kostenvoranschlag an Ihren Nachbarn ueberwiesen. Es faellt kein Selbstbehalt an. Der Fall ist abgeschlossen.

Diese Nachricht wurde automatisch erstellt.
Pfefferminzia Versicherungen AG",true
INT-00000517,APP,EINGEHEND,2025-11-24T19:40:00Z,,PTR-00000001,MIT-00013,,VERTRAG,VTR-00000104,TH-00000517,Neue Vertragsnummer Vorsorge 3a,,de,neutral,data/documents/S/personas/PTR-00000001/INT-00000517_app.md,"Guten Tag

In der Jahresinformation steht eine neue Vertragsnummer fuer meine Saeule 3a. Gilt der alte Vertrag noch, oder ist das jetzt ein neuer Vertrag mit neuen Bedingungen? Koennen Sie mir kurz sagen, ob sich fuer mich etwas aendert?

Freundliche Gruesse, Simone Niederberger",true
INT-00000518,APP,AUSGEHEND,2025-11-25T09:05:00Z,,PTR-00000001,MIT-00013,,VERTRAG,VTR-00000104,TH-00000517,Re: Neue Vertragsnummer Vorsorge 3a,,de,,data/documents/S/personas/PTR-00000001/INT-00000518_app.md,"Guten Tag Frau Niederberger

Ihr Vertrag ist derselbe geblieben. Im November haben wir alle Lebensversicherungen aus dem alten System VERA in unser neues System uebernommen; dabei erhalten die Vertraege eine neue Nummer. Bedingungen, Praemie, Laufzeit und Bezugsrecht aendern sich nicht. Die alte Nummer bleibt als Referenz auf allen Dokumenten sichtbar.

Freundliche Gruesse
Dario Bianchi, Kundenservice Olten",true
INT-00000201,CHAT,EINGEHEND,2021-03-15T21:12:00Z,,PTR-00000002,,,ALLGEMEIN,,TH-00000201,Chat mit Minzia-Assistent: Haftpflicht bei den Eltern,,de,,data/documents/S/personas/PTR-00000002/INT-00000201_chat.md,"kunde: kurze frage, brauche ich eine eigene haftpflicht wenn ich noch bei meinen eltern wohne?
assistent: Solange du in Ausbildung bist und im Haushalt deiner Eltern lebst, bist du in der Regel ueber deren Privathaftpflicht mitversichert. Mit dem ersten eigenen Job oder dem Auszug endet das meist. Soll ich dir eine Police vorbereiten, die du jederzeit widerrufen kannst?
kunde: ok mach mal, ich schau mir das an
assistent: Erledigt. Dein Antrag ist vorbereitet, du kannst ihn in der App abschliessen. Widerruf ist innerhalb von 14 Tagen ohne Angabe von Gruenden moeglich.",true
INT-00000202,EMAIL,EINGEHEND,2021-03-24T08:03:00Z,,PTR-00000002,,,VERTRAG,VTR-00000203,TH-00000202,Widerruf Vertrag MZ-2021-000203-P,,de,neutral,data/documents/S/personas/PTR-00000002/INT-00000202.eml,"Sehr geehrte Damen und Herren,

hiermit widerrufe ich den am 15.03.2021 geschlossenen Vertrag ueber eine Privathaftpflichtversicherung (Policennummer MZ-2021-000203-P) fristgerecht. Bitte bestaetigen Sie mir den Widerruf und erstatten Sie den bereits gezahlten Beitrag.

Mit freundlichen Gruessen
Jana Ortlepp",true
INT-00000203,EMAIL,AUSGEHEND,2021-03-24T08:04:00Z,,PTR-00000002,,,VERTRAG,VTR-00000203,TH-00000202,Re: Widerruf Vertrag MZ-2021-000203-P,,de,,data/documents/S/personas/PTR-00000002/INT-00000203.eml,"Hallo Jana,

dein Widerruf ist angekommen und wirksam. Den Beitrag von EUR 1.45 fuer die neun Tage erstatten wir auf dein Konto. Wenn du spaeter doch eine eigene Haftpflicht brauchst, bist du mit zwei Klicks zurueck.

Dein Team von minzia.direct

(automatisch erstellt)",true
INT-00000230,CHAT,EINGEHEND,2024-11-18T22:40:00Z,,PTR-00000002,,,VERTRAG,VTR-00000201,TH-00000230,Chat: Versicherungsschutz Portugal,,de,,data/documents/S/personas/PTR-00000002/INT-00000230_chat.md,"kunde: bin ich im urlaub in portugal versichert? fliege naechste woche
assistent: Ja. Deine Privathaftpflicht (Bedingungen MZ-DIRECT, Ziffer A3) gilt weltweit bei voruebergehendem Aufenthalt bis zu einem Jahr. Schaeden, die du in Portugal verursachst, sind gedeckt; Mietsachschaeden an der Ferienunterkunft ebenfalls bis EUR 50'000.
kunde: passt, danke",true
