typ,kuerzel,bezeichnung,text_de_ch,text_de_de,rechtsgrundlage_ch,rechtsgrundlage_de,avb_ref_ch_HP-KLASSIK,avb_ref_ch_HP-MODERN,avb_ref_ch_MZ-DIRECT,avb_ref_ch_PM-2025,ahb_ref_de_HP-KLASSIK,ahb_ref_de_HP-MODERN,ahb_ref_de_MZ-DIRECT,ahb_ref_de_PM-2025,bemerkung
deckung,kein_vertrag,Kein Vertrag,Für die genannte Person besteht bei uns keine Haftpflichtversicherung.,Für die genannte Person besteht bei uns kein Haftpflichtversicherungsvertrag.,Art. 1 VVG,§ 1 VVG,AVB 2005 Art. 1,Ziff. A1,Ziff. A1,Ziff. A1,AHB 2008 Ziff. 1,AHB 2013 Ziff. 1,AHB 2021 Ziff. 1,AHB 2025 Ziff. 1,"Stolperstein S14: Geschädigter schreibt direkt, kein Vertrag findbar"
deckung,vertrag_nicht_aktiv,Vertrag zum Schadendatum nicht in Kraft,Der Vertrag war zum Zeitpunkt des Ereignisses noch nicht in Kraft oder bereits beendet.,Der Vertrag bestand zum Zeitpunkt des Schadenereignisses noch nicht oder war bereits beendet.,Art. 9 VVG (vor 2022: Art. 9 VVG alt),§ 2 VVG,AVB 2005 Art. 3,Ziff. A3,Ziff. A3,Ziff. A3,AHB 2008 Ziff. 8,AHB 2013 Ziff. 8,AHB 2021 Ziff. 8,AHB 2025 Ziff. 8,Betrugsmuster F2 (Rückdatierung)
deckung,deckungsunterbruch,Deckungsunterbruch wegen Prämienverzug,Zum Zeitpunkt des Ereignisses ruhte die Leistungspflicht infolge Zahlungsverzugs (Art. 20 VVG).,Zum Zeitpunkt des Versicherungsfalls bestand wegen Beitragsverzugs Leistungsfreiheit (§ 38 VVG).,Art. 20 Abs. 3 VVG,§ 38 Abs. 2 VVG,AVB 2005 Art. 6,Ziff. A5,Ziff. A5,Ziff. A5,AHB 2008 Ziff. 12,AHB 2013 Ziff. 12,AHB 2021 Ziff. 12,AHB 2025 Ziff. 12,Gegenfall U7: fehlerhafte Mahnung macht Unterbruch unwirksam
deckung,ausschluss_beruflich,Berufliche oder gewerbliche Tätigkeit,Schäden aus beruflicher oder gewerblicher Tätigkeit sind in der Privathaftpflicht nicht versichert.,Ansprüche aus einer beruflichen oder gewerblichen Tätigkeit sind vom Versicherungsschutz der Privathaftpflicht ausgeschlossen.,AVB,AHB/BBR,AVB 2005 Art. 14,Ziff. D5,"Ziff. D5 (Nebenerwerb bis 10'000 mitversichert, Ziff. B3.9)","Ziff. D5 (Nebenerwerb bis 10'000 mitversichert, Ziff. B3.9)",BBR PHV 2008 Ziff. 1.1,BBR PHV 2015 Ziff. 1.1,BBR PHV 2021 Ziff. 1.1 (Nebenerwerb Ziff. 1.9),BBR PHV 2025 Ziff. 1.1 (Nebenerwerb Ziff. 1.9),Stolperstein U11/S5: Ergebnis hängt von der Generation ab
deckung,ausschluss_vorsatz,Vorsätzliche Schadenverursachung,Vorsätzlich herbeigeführte Schäden sind nicht versichert; bei grober Fahrlässigkeit kann die Leistung gekürzt werden (Art. 14 VVG).,Vorsätzlich herbeigeführte Schäden sind vom Versicherungsschutz ausgeschlossen (§ 103 VVG).,Art. 14 VVG,§ 103 VVG,AVB 2005 Art. 10,Ziff. D1,Ziff. D1,Ziff. D1,AHB 2008 Ziff. 7.1,AHB 2013 Ziff. 7.1,AHB 2021 Ziff. 7.1,AHB 2025 Ziff. 7.1,Betrugsmuster F6
deckung,ausschluss_eigene_sache,Schaden an eigenen Sachen,"Schäden an Sachen, die dem Versicherungsnehmer oder mitversicherten Personen gehören, sind nicht versichert.",Schäden an eigenen Sachen des Versicherungsnehmers sind nicht versichert (Eigenschaden).,AVB,AHB,AVB 2005 Art. 12,Ziff. D3,Ziff. D3,Ziff. D3,AHB 2008 Ziff. 7.7,AHB 2013 Ziff. 7.6,AHB 2021 Ziff. 7.6,AHB 2025 Ziff. 7.6,Stolperstein S3: Handy selbst fallen gelassen; Betrugsmuster F1
deckung,ausschluss_angehoerige,Ansprüche mitversicherter Personen untereinander,Ansprüche von mitversicherten Personen gegeneinander sind nicht versichert.,Haftpflichtansprüche mitversicherter Personen untereinander sind ausgeschlossen.,AVB,AHB,AVB 2005 Art. 11,Ziff. D2,Ziff. D2,Ziff. D2 (Ausnahme Personenschäden DE Premium),AHB 2008 Ziff. 7.4,AHB 2013 Ziff. 7.5,AHB 2021 Ziff. 7.5,"AHB 2025 Ziff. 7.5 (Ausnahme Personenschäden Premium, BBR Ziff. 3.11)",Stolperstein S4
deckung,ausschluss_mfz,"Motorfahrzeuge, Luft- und Wasserfahrzeuge",Haftpflicht als Halter oder Lenker von Motorfahrzeugen ist nicht versichert (eigene Sparte Motorfahrzeughaftpflicht).,Die Haftpflicht als Halter oder Fahrer von Kraftfahrzeugen ist nicht versichert (Kfz-Haftpflicht).,AVB; SVG,AHB; PflVG,AVB 2005 Art. 13,Ziff. D4,Ziff. D4,Ziff. D4,AHB 2008 Ziff. 7.6,AHB 2013 Ziff. 7.4,AHB 2021 Ziff. 7.4,AHB 2025 Ziff. 7.4,Stolperstein S3 falsche Sparte; Nummerierung AHB 2008 vs. 2013 weicht ab
deckung,ausschluss_erfuellung,Erfüllungsansprüche / Mängel am eigenen Werk,Ansprüche auf Erfüllung von Verträgen und auf Nachbesserung des eigenen Werks sind nicht versichert.,Ansprüche auf Vertragserfüllung und Nachbesserung sowie Schäden am eigenen Werk sind ausgeschlossen.,AVB,AHB,AVB 2005 Art. 15,Ziff. D6,Ziff. D6,Ziff. D6,AHB 2008 Ziff. 7.3,AHB 2013 Ziff. 7.3,AHB 2021 Ziff. 7.3,AHB 2025 Ziff. 7.3,Tätigkeitsschaden vs. Erfüllungsanspruch als Kernabgrenzung BHV
deckung,nicht_versicherte_taetigkeit,Tätigkeit nicht von der Betriebsbeschreibung erfasst,Die schadenverursachende Tätigkeit ist von der versicherten Betriebsbeschreibung nicht erfasst.,Die schadenverursachende Tätigkeit ist nicht Gegenstand der versicherten Betriebsbeschreibung.,AVB; Art. 6 VVG,AHB; § 19 VVG,AVB 2005 Art. 8,Ziff. B3,Ziff. B3,Ziff. B3,BBR BHV 2008 Ziff. 1,BBR BHV 2015 Ziff. 1,BBR BHV 2021 Ziff. 1,BBR BHV 2025 Ziff. 1,Stolperstein U3; Betrugsmuster F9; Klausel KL-CH-017 Ausschluss Dachdeckerarbeiten
