diagnose_code,icd10_gruppe,icd10_kapitel,bezeichnung_de,schweregrad,haeufigkeit_antragspopulation_pct,altersschwerpunkt,uw_wirkung_tod,zuschlag_tod_pct,zuschlag_tod_promille,uw_wirkung_eu_bu,zuschlag_eu_bu_pct,ausschluss_code_eu_bu,zurueckstellung_monate,nachweis,freitext_variante_1,freitext_variante_2,freitext_variante_3_tippfehler,relevanz_eu_bu,arl_abweichung_hinweis,leistungsursache_kategorie,medikation_beispiel
DX-001,A15,I,"Tuberkulose der Atmungsorgane, ausgeheilt",2,0.2,ALLE,NORMAL,0,0,ZUSCHLAG,25,,12,ARZTZEUGNIS,"Tuberkulose 2015, vollständig behandelt","hatte TB, 6 Monate Tabletten, geheilt",Tuberkolose abgeheilt,MITTEL,,SONSTIGE,Isoniazid/Rifampicin (abgeschlossen)
DX-002,A09,I,Infektiöse Gastroenteritis (Magen-Darm-Grippe),1,2.5,ALLE,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,Magen-Darm-Grippe letztes Jahr,"Brechdurchfall, 3 Tage krank",Magen darm gripe,NIEDRIG,,SONSTIGE,
DX-003,B02,I,Herpes zoster (Gürtelrose),1,1.2,MITTEL,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Gürtelrose 2021, abgeheilt",Hatte mal Gürtelrose am Rücken,Gürtelrose (Herpes Zooster),NIEDRIG,,SONSTIGE,Aciclovir (abgeschlossen)
DX-004,B18,I,Chronische Virushepatitis B oder C,2,0.4,ALLE,ZUSCHLAG,75,0,ZUSCHLAG,100,,0,FACHARZT,"Hepatitis C, Therapie 2019 abgeschlossen, Virus nicht mehr nachweisbar","chronische Hepatitis B, Kontrolle beim Leberarzt",Hepatits C ausgeheilt,MITTEL,ARL-1985/2008: Ablehnung,SONSTIGE,Tenofovir
DX-005,B24,I,"HIV-Infektion unter Therapie, Viruslast nicht nachweisbar",3,0.3,ALLE,ZUSCHLAG,150,0,ABLEHNUNG,0,,0,FACHARZT;LABOR,"HIV positiv seit 2012, Therapie, Viruslast unter Nachweisgrenze","HIV, nehme täglich Medikamente, alle Werte gut","HIV possitiv, Viruslast nicht nachweisbar",HOCH,ARL-1985/2008: Ablehnung (Stolperstein Altbestand); ARL-2015+: +100-200 %,SONSTIGE,Antiretrovirale Kombination
DX-006,B27,I,Infektiöse Mononukleose (Pfeiffersches Drüsenfieber),1,1.5,JUNG,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,Pfeiffersches Drüsenfieber 2020,"Drüsenfieber während Studium, 4 Wochen krank",Pfeifersches Drüssenfieber,NIEDRIG,,SONSTIGE,
DX-007,C18,II,"Kolonkarzinom (Dickdarmkrebs), Stadium I-II, Therapie abgeschlossen",3,0.3,ALT,ZURUECKSTELLUNG,150,0,ZURUECKSTELLUNG,0,,36,FACHARZT,"Darmkrebs 2019, operiert, keine Chemo nötig, Nachsorge unauffällig","Dickdarmkrebs, OP 2018, seitdem gesund",Darmkrebs opperiert 2019,HOCH,,KREBS,
DX-008,C34,II,Bronchialkarzinom (Lungenkrebs),3,0.1,ALT,ABLEHNUNG,0,0,ABLEHNUNG,0,,60,FACHARZT,"Lungenkrebs 2022, operiert und Chemo","Lungentumor entfernt, in Behandlung","Lungenkrebs, Chemotheraphie",HOCH,,KREBS,
DX-009,C43,II,"Malignes Melanom der Haut, Stadium I, entfernt",2,0.4,MITTEL,ZURUECKSTELLUNG,100,0,ZURUECKSTELLUNG,0,,24,FACHARZT,"Hautkrebs (Melanom) 2020 entfernt, Nachsorge ohne Befund","schwarzer Hautkrebs am Arm, rausgeschnitten","Melanom entfernt, Nachsorge o.B.",MITTEL,,KREBS,
DX-010,C44,II,"Basalzellkarzinom der Haut (Basaliom), entfernt",1,0.8,ALT,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,Basaliom an der Nase 2021 entfernt,"weisser Hautkrebs, kleine OP beim Hautarzt",Bassaliom entfernt,NIEDRIG,,KREBS,
