org_einheit_id,kuerzel,name,uebergeordnet_id,ebene,standort,land,fte,herkunft,leitung_rolle
ORG-000,VR,Verwaltungsrat Pfefferminzia Holding AG,,0,Olten,CH,0,gemischt,Präsidentin des Verwaltungsrats
ORG-001,GL,Geschäftsleitung (Group Executive Board),ORG-000,1,Olten,CH,10,gemischt,CEO
ORG-010,CFO,Finanzen,ORG-001,2,Olten,CH,148,pfefferminz,Chief Financial Officer
ORG-011,FIN-RL,Rechnungslegung und Controlling,ORG-010,3,Olten,CH,62,pfefferminz,Leiter Rechnungslegung
ORG-012,FIN-KA,Kapitalanlagen,ORG-010,3,Olten,CH,24,pfefferminz,Leiterin Kapitalanlagen
ORG-013,FIN-MW,Meldewesen und Solvenz-Reporting,ORG-010,3,Olten,CH,18,pfefferminz,Leiter Meldewesen
ORG-014,FIN-DE,Finanzen Deutschland,ORG-010,3,Leipzig,DE,44,pfefferminz,Leiterin Finanzen DE
ORG-020,RM,Risikomanagement,ORG-001,2,Olten,CH,38,gemischt,Chief Risk Officer
ORG-021,RM-CTRL,Risk Controlling und ORSA/SST,ORG-020,3,Olten,CH,16,pfefferminz,Head Risk Controlling
ORG-022,RM-MV,Modellvalidierung,ORG-020,3,Olten,CH,9,pfefferminz,Leiter Modellvalidierung
ORG-023,RM-KI,Modellrisiko und KI-Validierung,ORG-020,3,Zürich,CH,7,gemischt,Leiterin KI-Validierung
ORG-024,RM-DE,Risikomanagement DE (Solvency II),ORG-020,3,Leipzig,DE,6,pfefferminz,Risikomanager DE
ORG-030,COO,"Betrieb Schaden, Leistung und Service",ORG-001,2,Olten,CH,742,pfefferminz,Chief Operating Officer
ORG-031,SL-HP-CH,Schaden Haftpflicht CH,ORG-030,3,Olten,CH,118,pfefferminz,Schadenleiter CH
ORG-032,SL-HP-DE,Schaden Haftpflicht DE,ORG-030,3,Leipzig,DE,96,pfefferminz,Schadenleiterin DE
ORG-033,SL-LV-CH,Leistungsprüfung Leben CH,ORG-030,3,Olten,CH,54,pfefferminz,Leiterin Leistungsprüfung Leben CH
ORG-034,SL-LV-DE,Leistungsprüfung Leben DE,ORG-030,3,Leipzig,DE,31,pfefferminz,Leiter Leistungsprüfung Leben DE
ORG-035,SIU,Special Investigation Unit (Betrugsabwehr),ORG-030,3,Leipzig,DE,14,gemischt,Leiter Betrugsabwehr
