kuerzel,name_de_ch,name_de_de,produkte,maerkte,standard_inkludiert_ch,standard_inkludiert_de,sublimit_regel,sublimit_betrag_ch,sublimit_betrag_de,zusatzpraemie_regel,zusatzpraemie_typ,zusatzpraemie_ch,zusatzpraemie_de,zusatzpraemie_variante_ch,zusatzpraemie_variante_de,ab_generation_ch,ab_generation_de,bis_generation,anteil_vertraege_ch_pct,anteil_vertraege_de_pct,alt_code_planung,hapo_code,mint_code,bemerkung
BS-TIER-HUND,Tierhalter Hund,Hundehalterhaftpflicht,HP-PRIV,CH;DE,ja,nein,"CH: Hunde und Katzen im Grundtarif, innerhalb Deckungssumme, kein Sublimit; DE: innerhalb Deckungssumme; Listenhunde nur mit Nachweis (Sachkunde/Wesenstest), sonst Referat",,,"CH: keine Zusatzprämie; DE: fix je Hund, Listenhund erhöht; Zuschlag in Bundesländern mit Hundehalterpflicht entfällt (Pflichtdeckung)",fix_pro_tier,0.0,55.0,,listenhund: 95.00,HP-KLASSIK,HP-MODERN,,22.0,18.0,tierhalter_hund,BST=01 (Rasse in ZUSATZ1 Freitext),addon_dog,HAPO führt die Hunderasse im überladenen Feld ZUSATZ1 (DQ-07); DE Hundehalterpflicht je Bundesland siehe plz_zonen.csv
BS-TIER-PFERD,Tierhalter Pferd,Pferdehalterhaftpflicht,HP-PRIV,CH;DE,nein,nein,"innerhalb Deckungssumme; Fremdreiterrisiko eingeschlossen; max. 2 Pferde, darüber Referat",,,fix je Pferd,fix_pro_tier,220.0,150.0,,,HP-MODERN,HP-MODERN,,1.5,1.2,tierhalter_pferd,BST=02,addon_horse,
BS-BAUHERR,Bauherrenhaftpflicht,Bauherrenhaftpflicht,HP-PRIV;HP-BETR,CH;DE,ja,ja,"bis Bausumme CH 100'000 / DE 50'000 eingeschlossen; darüber Einzelvertrag (nicht modelliert, Ablehnungsgrund baustein_fehlt)",100000.0,50000.0,keine Zusatzprämie innerhalb der Bausummengrenze,inkludiert,0.0,0.0,,,HP-MODERN,HP-MODERN,,3.0,2.5,bauherr,BST=03,addon_builder,Risiko bauvorhaben mit Feld bausumme; Deckungsgrenzfall Bausumme
BS-OELTANK,Gewässerschaden / Öltank,Gewässerschaden-Haftpflicht (Heizöltank),HP-PRIV,CH;DE,ueber_gebaeude,nein,DE: Tank bis 5'000 l; Sublimit Umwelt/Gewässer 3 Mio. (Basis) bzw. Deckungssumme (Premium); CH: Bestandteil von BS-GEBAEUDE mit Sublimit 2 Mio.,2000000.0,3000000.0,DE fix je Tank; CH in Gebäudebaustein enthalten,fix,0.0,35.0,,,HP-MODERN,HP-MODERN,,0.0,4.0,oeltank,BST=04,addon_oil_tank,Grenzfall Umwelt vs. Sachschaden
BS-GEBAEUDE,Gebäudehaftpflicht (Hauseigentümer),Haus- und Grundbesitzerhaftpflicht,HP-PRIV,CH;DE,ja_selbstbewohnt,ja_selbstbewohnt,selbstbewohntes EFH/ZFH inkl.; vermietete Objekte und MFH als Zusatz; Werkeigentümerhaftung Art. 58 OR / § 836 BGB,,,selbstbewohnt fix je Objekt; vermietet erhöhter Fixbetrag,fix_pro_objekt,90.0,45.0,vermietet: 160.00,vermietet: 95.00,HP-MODERN,HP-MODERN,,12.0,9.0,gebaeude,BST=05,addon_property,CH-typischer Werkeigentümer-Fall
BS-PRODUKT,Produkthaftpflicht (erweitert),Erweiterte Produkthaftpflicht,HP-BETR,CH;DE,grunddeckung,grunddeckung,"Grund-Produkthaftpflicht in Deckungssumme enthalten; erweiterte Produkthaftpflicht (Aus-/Einbau, Verbindung/Vermischung, Prüf-/Sortierkosten) Sublimit 1 Mio.; Rückruf nur mit BS-RUECKRUF",1000000.0,1000000.0,+15 % auf BHV-Grundprämie,prozent_grundpraemie,15.0,15.0,,,HP-MODERN,HP-MODERN,,35.0,35.0,produkt,BST=06,addon_product,Rückruf vs. Produkthaftung als Abgrenzung
BS-UMWELT,Umwelthaftpflicht,Umwelthaftpflicht-Basis + Umweltschadensversicherung (USV),HP-BETR,CH;DE,nein,nein,Sublimit CH 2 Mio. (Option 5 Mio.); DE 3 Mio.; USV nach USchadG nur DE,2000000.0,3000000.0,+10 % auf BHV-Grundprämie,prozent_grundpraemie,10.0,10.0,,,HP-MODERN,HP-MODERN,,20.0,22.0,umwelt,BST=07,addon_environment,
BS-RUECKRUF,Rückrufkosten,Rückrufkostenversicherung,HP-BETR,CH;DE,nein,nein,Sublimit 250'000; nur zusammen mit BS-PRODUKT,250000.0,250000.0,+20 % auf BHV-Grundprämie,prozent_grundpraemie,20.0,20.0,,,HP-MODERN,HP-MODERN,,6.0,6.0,rueckruf,BST=08,addon_recall,CH erst mit Revision 2017.1
BS-IT-DATEN,IT- und Datenschutz-Haftpflicht,Datenschutz- und Internet-Haftpflicht,HP-BETR;HP-BERUF,CH;DE,nein,nein,Sublimit 250'000 für Datenschutzverletzungen und Vermögensschäden Dritter aus Datenverlust; kein Cyber-Eigenschaden,250000.0,250000.0,+8 % auf Grundprämie,prozent_grundpraemie,8.0,8.0,,,HP-MODERN,HP-MODERN,,10.0,12.0,it_datenschutz,BST=09,addon_data_privacy,"CH ab Revision 2017.1, DE ab Revision 2016.1"
BS-AUSFALL,Ausfalldeckung (Forderungsausfall),Forderungsausfalldeckung,HP-PRIV,DE,,nein,Forderungsausfall ab 2'500 EUR Schaden bis Deckungssumme; Voraussetzung vollstreckbarer Titel; MZ-DIRECT und PM-2025 Komfort/Premium inkludiert,,2500.0,HP-MODERN: fix; ab MZ-DIRECT inkludiert,fix,,12.0,,,,HP-MODERN,,0.0,30.0,ausfalldeckung,BST=10,addon_default_cover,"sublimit_betrag_de = Mindestschaden (Bagatellgrenze), nicht Obergrenze"
